水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
11.7,8.04,8.76,1165.2,26.8,3.93,0.769,0.213,4.49
17.7,7.97,8.44,332.9,5.4,1.11,0.042,0.068,2.24
17.3,8.1,9.69,325.1,4.4,1.54,0.025,0.025,2.14
16.9,8.09,9.54,312.8,10.3,1.56,0.049,0.055,2.01
16.5,7.11,8.34,161.1,4.3,3.52,0.284,0.148,2.97
16.7,7.2,7.8,227.4,20.2,4.59,0.668,0.239,4.74
16.4,8.2,9.51,369.8,1.9,1.09,0.025,0.032,1.27
19,8.04,8.48,233.9,1.2,0.92,0.025,0.005,0.4
19.1,7.76,8.99,274.7,6.9,1.5,0.025,0.011,0.72
16,8.16,9.31,205.4,14.8,0.96,0.13,0.076,2.29
14.5,8.31,10.45,262.2,6.2,1.42,0.034,0.028,1.84
15,7.13,9.25,156.5,12,1.09,0.062,0.04,1.49
19,7.89,8.66,353.5,1.7,0.97,0.025,0.013,2.04
15.2,7.91,7.85,363.4,2.5,0.8,0.045,0.018,2.15
18.8,7.94,7.4,355.8,2.6,0.51,0.025,0.012,2
18.6,7.94,9.22,369.6,4.2,0.75,0.025,0.017,2.18
18.4,8.05,8.37,326.9,5.9,0.69,0.025,0.005,2.09
17.6,8.06,9.15,335.2,10.9,0.75,0.025,0.016,2.09
15.2,8.07,9.99,262.5,7.2,1.3,0.025,0.041,1.98
18.4,8.11,9.15,344.2,10.1,1.24,0.025,0.017,2.24
17.7,6.85,8.45,57.5,7.4,1.63,0.025,0.013,0.52
18.4,7.41,9.56,109.6,5.5,1.57,0.042,0.011,1.22
18.2,7.84,9.62,287.4,4.1,1.56,0.025,0.011,1.41
18.6,7.8,8.99,208,5.9,1.11,0.045,0.016,1.13
20.9,7.03,7.43,120.9,16,2.26,0.047,0.069,1.92
19.3,7.77,8.49,7600.9,12.2,1.74,0.265,0.052,1.65
21.4,6.58,4.96,197.1,12.7,5.51,0.392,0.104,2.34
21.3,7.5,8.37,109.4,22.7,1.48,0.026,0.062,1.28
24,7.51,7.06,104.2,1.2,1.72,0.025,0.009,0.45
25.8,7.72,7.59,249,13.9,2.05,0.062,0.027,0.44
25.3,7.27,7.32,154.7,8.5,2.09,0.059,0.056,0.8
24,7.61,8.16,737.8,8.4,1.59,0.042,0.032,1.26
21.5,7.38,8.85,192.1,33.9,2.01,0.025,0.048,1.93
20.4,7.16,7.71,266.7,28.8,2.85,0.141,0.117,2.19
22.2,7.07,7.62,107.3,8.4,1.97,0.066,0.056,1.59
21.2,6.9,8.71,81.6,8.8,1.34,0.025,0.029,0.88
22,6.76,7.77,99.9,9.6,1.99,0.025,0.037,1.26
22.3,6.87,8.89,98.2,17.9,4.43,0.025,0.078,2.84
22.2,7.21,6.64,85.6,5.9,0.95,0.025,0.018,1.64
21.9,7.15,3.94,375.4,11,1.54,0.214,0.052,1.57
22.3,7.45,7.93,174.3,14,7.03,0.025,0.219,2.06
22.9,6.5,7.48,93.6,12.5,2.12,0.025,0.041,0.79
23.4,6.7,7.4,116.3,9.4,2.21,0.126,0.07,2.15
23.6,6.78,9.44,99.1,8.5,1.14,0.028,0.047,1.84
23.2,6.48,3.24,222.1,19.6,3.82,2.931,0.287,4.65
22.6,7.58,8.33,90.5,9.1,1.69,0.025,0.011,0.47
17.4,8.01,9.26,3702.1,17.5,9.09,0.576,0.37,2.23
21.5,7.3,7.67,94.6,9.5,1.35,0.046,0.075,1.16
21.5,7.53,6.17,175.3,7.5,1.44,0.025,0.046,1.79
20.5,7.75,7.49,356.6,23.6,2.48,0.259,0.127,3.23
23.9,7.57,8.02,98.6,11.5,1.36,0.025,0.035,0.66
23.8,8.48,8.36,85.5,17.4,2.82,0.025,0.021,0.34
24.6,7.58,8.86,144.5,7.7,3.34,0.025,0.054,1.16
25,6.95,9.21,118.4,18.2,1.97,0.025,0.062,1.39
22.8,7.96,10.5,1384.8,13.4,2.52,0.039,0.083,1.22
14.1,8.04,9.44,436.4,3.8,0.86,0.028,0.033,1.52
10.2,8.08,11.46,405.3,23.6,2.18,0.025,0.048,0.98
10.6,7.31,6.76,325.9,5.4,2.67,0.025,0.026,0.96
14.6,7.91,9.83,483.9,11.5,0.96,0.036,0.03,1.47
9.7,8.14,13.2,505,4.8,4.18,0.025,0.032,1.19
15.6,8.26,9.45,492,6.9,0.95,0.025,0.029,1.11
14.1,8.04,9.82,462.2,21.9,0.31,0.032,0.039,0.78
16.2,7.86,9.28,453.4,5.1,1.89,0.051,0.01,0.78
12.4,7.57,9.95,349.2,4.6,1.49,0.025,0.005,1.43
11.8,8.08,9.6,1486,8.4,1.76,0.2,0.037,2.68
9.5,8.22,10.12,517,2.5,0.82,0.03,0.006,0.98
11.2,7.43,5.66,560.1,2.6,2.7,0.036,0.053,1.74
11.3,7.93,10.64,625,5.8,2.1,0.064,0.043,1.6
10,7.51,9.06,477.5,10.8,3.85,0.025,0.022,1.19
12.2,7.25,7.74,420.4,7,3.6,0.025,0.11,1.28
11.1,7.92,10.05,539.8,6.2,4.82,0.857,0.085,3.75
10.7,7.9,11.81,817.1,6.2,1.74,0.025,0.018,1.99
15.2,7.88,9.44,484.9,10.7,0.9,0.025,0.022,1.15
10.3,8.06,11.2,1032.9,8.9,3.98,0.037,0.069,6.34
11.9,7.63,9.54,936.3,11.5,2.33,0.547,0.097,2.53
10.9,7.58,11.41,211.8,4.3,1.53,0.025,0.014,1.66
11.5,8.25,8.99,407.3,5.1,2.14,0.088,0.03,1.11
10.9,7.92,10.32,462.5,7.3,1.17,0.096,0.032,1.82
12.3,7.76,8.91,339.2,4,2.21,0.025,0.057,2.27
11.2,7.92,9.51,563.8,4.5,1.18,0.098,0.028,2.3
11.4,8.16,8.13,475.8,8.9,2.28,0.066,0.064,1.82
8.4,8.39,12.36,830.5,1.7,2.02,0.072,0.027,1.09
13.4,8.1,10.6,497.5,20,0.91,0.025,0.031,1.21
9,7.74,10.18,477,52,4.55,0.025,0.032,1.53
10.7,8.08,10.89,665.9,6.5,3.57,0.031,0.103,2.52
11.1,7.74,9.3,679.3,3.6,4.38,0.033,0.061,2.18
10.2,8.67,11.17,490.6,4.4,0.96,0.057,0.033,2.13
11.4,7.99,8.69,734.8,11,4.54,0.025,0.095,3.61
8,8.05,11.15,620.5,6.3,5.34,0.025,0.034,1.21
9.2,8.14,7.75,236.9,16.6,3.73,0.025,0.055,1.51
10.9,8.24,11.18,1060.6,1.7,1.33,0.025,0.027,3.07
12.7,8,8.32,393.7,8.2,0.38,0.025,0.006,1.1
15.3,7.98,7.8,510,13.1,0.72,0.025,0.047,2.33
8.2,7.95,11.75,530.8,188.8,1.17,0.025,0.034,1.62
12.3,7.74,8.89,262.3,3.8,0.89,0.025,0.017,1
9.7,7.83,10.36,337.2,3.8,2.28,0.306,0.127,3.01
9.3,8.47,11.6,383.4,14.7,3.42,0.025,0.029,0.73
9.2,8.33,10.24,608.2,9.6,1.78,0.13,0.028,1.02
14.5,8.18,8.96,450.4,5,1.09,0.032,0.037,1.26
14.9,7.6,6.08,310.9,1.3,0.86,0.025,0.014,1.92
14.3,7.94,8.89,394,14.2,1.12,0.025,0.041,1.38
10.7,8.18,11.24,349.9,27.3,0.88,0.025,0.012,1.13
12.7,8.17,9.78,286.7,8.4,0.89,0.025,0.026,2.54
14,8.11,8.65,448.3,4.7,0.9,0.025,0.034,1.1
14.3,8.12,8.96,433.3,4.6,0.8,0.025,0.037,1.38
10.2,8.17,10.88,429.7,7.5,2.32,0.034,0.018,1.23
3,7.96,12.29,140.3,0.2,0.28,0.036,0.005,1.48
15.2,8.05,7.22,360,11.7,0.54,0.025,0.011,0.82
14.8,8.25,8.32,451.8,4.3,0.73,0.025,0.041,2.63
8.7,7.96,11.44,377.2,4.9,1.65,0.025,0.034,2.47
10.3,8.01,9.62,359.7,16,0.83,0.025,0.011,0.94
11.2,7.9,10.84,545.5,3.4,1,0.029,0.012,0.76
8.3,8.13,10.37,292,3.6,0.8,0.025,0.007,0.41
9.2,8.23,11.11,632.2,24.1,2.84,0.173,0.253,4.27
11.2,7.86,9.27,611.4,9.2,2.34,0.116,0.097,2.66
8.3,8.22,11.16,370.2,38.7,1.77,0.075,0.067,1.61
10.8,8.1,10.75,318.1,13.6,0.86,0.025,0.019,1.32
9.9,8.18,11.11,661.5,9.9,1.64,0.27,0.109,3.02
11,8.49,11.11,597.9,17.6,1.74,0.039,0.069,2.45
10.6,8.16,11.47,1640.8,7.9,2.92,0.056,0.065,3.26
10.1,8.02,10.92,655.2,10.1,1.75,0.025,0.063,4.09
12.8,8.24,9.23,1019.7,2.1,0.9,0.025,0.005,0.42
12.5,8.41,9.74,1020.4,0.4,0.74,0.025,0.005,0.48
13.7,8.14,9.38,250.3,6.8,0.71,0.025,0.01,0.44
12.4,8.21,10.56,231.8,2.9,1.32,0.025,0.006,0.31
8.5,7.84,10.31,614.5,4.2,3.95,0.034,0.058,0.81
14.4,8.01,9.23,483.9,17.3,0.96,0.025,0.041,1.21
11.6,8.37,10.76,587.7,9.2,1.03,0.025,0.082,3.18
11,8.27,11.34,619.1,4.6,1.67,0.025,0.067,2.92
11.2,7.64,9.22,407,5.1,1.97,0.042,0.04,3.28
15.2,7.98,9.28,490.3,9.3,0.78,0.025,0.032,1.06
9.1,7.63,12.45,144.2,6.7,1.37,0.025,0.02,1.84
8.4,8.05,9.5,704.6,20.2,14.35,0.497,0.424,4.77
10.6,7.6,11.08,602,3.2,1.58,0.208,0.056,2.56
8.8,8.1,11.78,536.9,9,2.64,0.054,0.025,1.29
10.4,8.06,11.08,798.7,124.9,1.85,0.025,0.18,2.64
10.2,8.14,11.1,797.1,105.8,2.15,0.151,0.16,3.28
8.3,8.22,11.99,602.8,7.8,2.9,0.135,0.078,2.39
5.4,8.37,11.02,300.7,13.4,0.54,0.025,0.009,0.58
8.7,8.01,9.71,311.7,9.3,1.83,0.155,0.033,1.49
10.7,8.06,8.59,278.6,1.2,1.3,0.025,0.028,0.56
7.4,8.33,10.46,351.6,11.6,1.28,0.049,0.023,1.74
5,8.4,12.98,425.7,13.6,0.82,0.025,0.011,1.99
6.5,8.41,9.76,454.6,17.9,0.28,0.044,0.014,0.84
9.5,8.32,10.96,356.8,4.4,0.77,0.025,0.008,0.78
7.3,8.36,11.69,421.8,2.3,0.8,0.025,0.009,1.48
6.2,8.13,12.93,590.4,2.6,1.08,0.025,0.005,1.53
9.8,8.18,10.71,313.2,11.9,0.99,0.025,0.01,0.82
9.6,7.81,9.99,719.7,9.6,5.17,0.124,0.063,2.15
9,8.18,9.93,401,57.5,2.41,0.253,0.049,1.91
9.1,7.7,8.63,531.3,19.8,4.64,0.439,0.046,1.3
9.3,7.9,11.42,465.8,11.8,2.67,0.046,0.027,1.39
9.9,8.34,12.6,617.9,4.7,5,0.025,0.018,0.73
10.4,8.01,9.79,605.9,11.8,3.98,0.06,0.159,2.89
10.8,8.11,10.4,555,16.6,1.61,0.047,0.073,2.46
9.8,8.19,10.33,295.3,6.5,0.25,0.025,0.028,1.33
11,7.65,9.88,292.1,1.2,0.97,0.025,0.065,1.29
11.4,8.15,11.63,494.2,21.4,1.75,0.08,0.07,2.93
9.4,8.16,10.74,321.2,11,0.44,0.025,0.027,1.11
9.4,8.34,12.29,333.5,3.2,0.64,0.025,0.032,1.2
12.2,7.79,9.28,353.2,12.5,0.92,0.077,0.019,0.98
10.1,7.3,7.5,398.1,9.7,2.88,0.111,0.009,0.44
11.2,7.17,9.12,371,21.6,1.26,0.025,0.011,0.86
9.8,7.91,8.79,500.3,26.9,1.59,0.046,0.073,2.13
9.7,8.19,11.24,428.5,15.6,1.61,0.043,0.056,2.44
9,8.06,10.39,324.6,9.5,0.46,0.074,0.049,1.14
10.4,7.85,10.36,589.2,3.4,2.81,0.048,0.024,0.6
10.7,7.84,10.29,363.6,11.4,1.12,0.241,0.065,1.79
11.3,7.65,8.68,378.8,17.4,1.67,0.222,0.075,2.47
13.2,8.06,9.69,520.5,3.8,0.47,0.025,0.016,0.88
12.1,7.99,9.91,877.5,5.5,2.42,0.102,0.08,3.57
16.5,8.08,9.08,508.3,14.1,0.99,0.025,0.016,0.68
10.3,8.31,11.96,335.9,3.6,0.9,0.036,0.066,3.62
10.9,7.85,9.35,274.8,15.9,1.65,0.025,0.018,1.51
10.2,7.6,9.96,409,9.5,2.9,0.025,0.049,1.92
7.8,7.82,9.57,889.1,5.7,3.3,0.237,0.063,2.28
9.9,8,11.54,293,0.7,1.51,0.025,0.015,0.92
9.9,7.89,11.54,295.3,4.5,1.48,0.025,0.029,0.94
8.6,8.09,11.65,490.8,8.2,5.15,0.025,0.082,3.04
6.9,7.45,9.25,266.5,226.3,5.73,1.535,0.1,2.18
9.8,7.76,9.78,495.3,19.1,2.94,0.204,0.087,2.95
9.9,7.49,9.79,397.5,6.5,1.6,0.261,0.094,1.99
11.6,8.28,9.71,259.7,0.6,0.41,0.025,0.012,0.51
7.9,8.34,11.03,270.7,1.7,0.62,0.025,0.005,0.44
8.9,7.72,7.62,390.9,7.6,1.69,0.725,0.062,3
10.6,8.28,11.35,629.1,8.5,2.5,0.056,0.051,3.14
10.5,8.09,11.27,609.3,17.6,1.83,0.045,0.052,3.01
7,7.79,11.61,684.1,2.5,4.8,0.025,0.067,1.15
8.9,8.13,11.22,781.9,5.1,5.92,0.039,0.041,1.82
5,8.67,11.85,283.7,3.4,1.29,0.025,0.008,0.53
2.1,8.5,10.45,188.6,7.6,0.67,0.025,0.005,0.52
1.1,8.66,10.76,297.3,7.2,0.59,0.025,0.005,0.39
10.6,7.64,10.6,241.4,87.2,0.41,0.066,0.029,2.08
8.4,7.81,9.13,247.1,87.5,2.05,0.124,0.064,1.45
12.2,8.23,7.75,340,5,1.55,0.046,0.014,0.3
10.5,7.89,8.42,487.2,19.5,0.9,0.025,0.064,3.07
9,8.02,7.68,359.7,14.6,2.14,0.025,0.016,0.91
10.2,7.61,9.68,646.9,2,2.34,0.155,0.145,5.16
12.2,7.63,8.66,435.5,3.4,0.77,0.025,0.01,3.17
9.8,8.26,9.47,400.8,5.7,1.01,0.094,0.013,3.19
12,8.2,10.01,408.2,4,0.58,0.025,0.046,2.31
9.9,8.19,12.02,706,2.7,2.16,0.105,0.184,7.11
11.8,7.62,8.7,375.3,0.6,0.48,0.025,0.015,1.7
14.8,7.93,7.89,441.3,0.6,0.96,0.029,0.053,2.83
14.8,7.64,7.74,453.8,13.3,0.74,0.025,0.062,3.25
10.2,7.9,10.62,608.2,2.4,1.85,0.025,0.088,3.72
9.9,7.73,10.51,381.8,2.4,0.3,0.076,0.009,0.53
10.7,8.06,11.9,483.7,26,0.61,0.106,0.032,3.01
11.8,8.4,9.26,519.7,12.3,0.86,0.071,0.01,3.13
11.6,8.02,9.51,445.4,2.8,0.47,0.025,0.013,2.71
17.3,8.09,7.55,353.5,10.6,0.65,0.025,0.008,2.58
16.6,7.97,7.91,401.7,6.9,0.93,0.072,0.007,2.24
9.4,8.08,11.2,466.3,2.9,0.39,0.025,0.049,4.23
12.9,8.2,11.44,356.8,21.9,1.09,0.061,0.042,2.32
14.2,7.98,10.32,420.6,1.2,0.91,0.025,0.037,2.77
12.1,7.52,12.16,471.9,2.2,0.35,0.025,0.013,1.34
9.5,7.44,9.24,402.5,7.8,1.23,0.272,0.104,1.95
18.4,8.04,8.5,529.1,0.7,0.7,0.025,0.014,2.42
16.3,8.5,8.21,300.2,3.1,0.57,0.039,0.013,2.32
10.6,8.28,10.4,470,6.8,0.43,0.025,0.024,2.47
14.4,7.95,9.84,472.2,3,1.05,0.042,0.057,2.76
18.2,7.74,7.53,420.2,4.4,0.97,0.046,0.02,2.85
17.8,7.83,8.26,380.4,2.3,0.76,0.036,0.014,2.09
13.5,7.71,9.47,205,2.6,0.98,0.025,0.021,1.02
11.6,7.76,8.52,141.4,12.7,2.41,0.025,0.05,0.62
9.9,7.56,10.42,212.4,5,0.8,0.035,0.008,0.77
11.2,8.53,11.11,562.9,3.4,1.19,0.025,0.028,1.8
9.6,8.45,10.78,414.8,8,1.4,0.025,0.008,2.21
10,8.56,10.77,666.3,0.9,1.05,0.025,0.052,2.33
14,7.74,10.03,170.6,15.6,0.97,0.025,0.072,0.77
11.9,7.73,10.07,218.2,3.8,5.64,0.046,0.016,0.52
10.9,8.03,9.53,1038.3,0.5,2.32,0.107,0.178,6.13
13.1,8,11,374.1,2.5,0.77,0.076,0.005,0.55
15.7,8.06,9.65,353.5,1.4,0.34,0.044,0.009,1.32
12.3,8.07,8.48,275.1,9.4,1.04,0.025,0.007,1.03
10.4,7.89,8.24,672.4,13.9,3.88,0.025,0.135,3.24
8.2,8.5,10.36,668.2,1.9,2.91,0.025,0.127,5.5
12.6,8.31,9.52,671.7,7.1,2.3,0.038,0.164,5.12
12.4,8.54,11.17,453.3,6.5,1.44,0.025,0.047,3.26
10.4,8.59,8.6,1088.1,1.5,3.59,0.025,0.079,6.06
12.8,8.39,12.96,697.1,0.6,2.64,0.025,0.018,4.95
14.9,7.35,7.43,476.1,5.3,3.61,0.161,0.199,8.23
13.4,8.65,8.24,494.2,4.7,1.37,0.04,0.05,3.39
11.1,8.62,8.29,324.8,13.2,1.23,0.025,0.035,1.07
12.3,7.7,6.6,548.7,6,3.05,0.077,0.035,3.99
12.6,7.93,6.34,444.2,5.6,3.18,0.191,0.03,0.59
12.4,8.01,8.4,698.8,14.9,4.03,0.134,0.235,5.33
13.3,8.29,8.6,484.7,7.8,1.68,0.025,0.043,3.14
11.8,9.13,14.14,615.7,8.4,1.89,0.025,0.043,3.53
10.5,8.27,7.91,412.4,2,1.07,0.071,0.027,1.92
13.6,9.55,17.09,686.3,5.5,6.55,0.093,0.144,0.58
11.2,8.47,8.21,468.6,13.7,4.08,0.258,0.047,3.93
11.6,8.04,8.08,472.8,9.5,5.6,0.335,0.048,1.75
10.8,8.19,7.71,499.2,10.4,6.02,0.493,0.052,1.82
11.2,8.04,8.12,475.6,10,5.87,0.592,0.035,1.94
11.6,8.4,7.92,480.5,2.7,5.85,0.546,0.04,1.87
10.9,8.05,7.38,485.9,11.4,4.66,0.671,0.034,2.01
11,8.1,7.84,477.6,12.9,5.9,0.404,0.051,1.57
11,9.21,7.94,470.9,9.7,6.2,0.58,0.04,1.6
12.7,7.79,7.41,513,8.3,2.21,0.17,0.07,5.28
9.2,8.23,9.54,571.9,0.4,2.13,0.025,0.033,4.17
9.5,8.37,9.33,358.6,3.5,1.17,0.083,0.016,1.37
8.7,7.72,7.76,328.8,5.8,1.45,0.329,0.121,1.39
11.6,8.32,9.51,369.8,21.7,0.7,0.056,0.089,2.07
9.9,8.59,11.9,540.2,9.7,1.52,0.025,0.033,6.74
14.9,7.75,8.03,509.2,13.1,1.14,0.048,0.029,2.44
10.3,8.1,8.49,393.3,24.6,1.28,0.025,0.022,1.68
13.5,8.17,9.02,512.5,5.1,1.22,0.025,0.071,3.38
14.1,8.09,8.88,614.2,4,2.21,0.025,0.015,4.27
19.5,7.97,8.62,401.5,80.6,1.39,0.025,0.036,1.03
14,8.26,6.79,332.5,1.6,0.79,0.025,0.011,0.16
12.6,8.43,8.4,629.2,3.2,1.75,0.025,0.005,0.76
11.8,9.46,9.14,793.7,9,7.07,0.025,0.044,1.12
12.6,7.78,8.34,628.9,7.3,2.14,0.07,0.141,5.75
12.7,8.65,8.05,604.7,14.1,6.84,0.025,0.064,0.88
11.8,8.29,9.94,370.8,10.5,0.41,0.025,0.005,0.5
15.8,8.1,10.09,590.2,19.1,0.49,0.025,0.027,1.63
11.2,8.21,9.91,544.8,2.1,0.79,0.025,0.005,0.48
13.2,7.94,9.41,118.1,18.1,0.97,0.025,0.021,0.85
11.4,8.26,8.24,399.8,2.1,0.52,0.025,0.014,1.79
10.2,8.05,10.37,401.3,4.9,0.25,0.033,0.041,3.46
11.6,8.1,9.87,394.5,6.9,0.36,0.025,0.044,3.19
16.5,8.08,9.59,537.6,6,0.42,0.025,0.015,0.82
11.8,8.02,9.89,351.4,10.8,0.5,0.025,0.033,2.27
9.5,7.99,7.51,246.5,1,1.21,0.025,0.006,0.05
7.2,8.48,10.39,1081.6,15,0.67,0.025,0.005,0.58
12.7,8.32,9.75,1103.9,7.4,0.99,0.025,0.005,0.5
10,7.91,7.09,449.2,6.1,2.52,0.064,0.156,4.74
20.1,7.91,6.89,228.8,7.5,0.78,0.025,0.013,0.59
19.5,7.93,6.69,340.3,5.7,1.17,0.025,0.008,0.53
14.5,7.43,8.42,264.2,143.4,3.07,0.025,0.063,1.54
16.7,7.76,9.73,124.2,13.3,1.88,0.025,0.01,0.3
15.6,8.09,9.28,395.7,1.9,2.99,0.051,0.046,6.08
20.5,7.66,6.83,358.7,5.7,1.12,0.025,0.007,0.32
16.8,8.07,7.55,446.9,11.2,1.14,0.025,0.012,0.51
20.4,8.03,7.34,266.9,11.2,1.48,0.025,0.011,0.49
16.8,7.99,9.34,325.6,50.2,0.99,0.025,0.017,1.01
15,7.72,8.2,174.8,23.6,1.54,0.05,0.051,1.35
15.1,8.25,9.75,214.8,18.1,0.72,0.025,0.016,1.09
12.8,8.02,8.08,497.7,5.8,3.44,0.025,0.066,1.87
12.3,7.74,7.76,794.7,4.1,4.87,0.035,0.025,6.32
18.3,7.95,8.13,158,71.3,0.94,0.025,0.038,0.39
18.9,8.11,8.57,284.4,18.4,0.57,0.025,0.04,1.86
18.6,8.18,8.97,277.8,27.3,0.54,0.025,0.04,1.88
18.9,8.14,8.23,278.7,33.5,0.59,0.029,0.063,1.87
19.2,8.01,6.68,238.8,7.9,0.99,0.03,0.057,1.26
18.1,8.36,9.51,316.8,17.7,0.93,0.033,0.023,1.16
18.1,8.6,8.7,460.5,75.4,0.75,0.025,0.042,1.12
13.7,8.54,7.85,526.3,17,11.72,0.161,0.049,1.62
17.6,7.84,7.62,560.4,27.4,1.06,0.025,0.068,3.07
15.7,8.29,10.67,373.2,44.4,0.53,0.025,0.036,2.91
15.8,7.95,7.61,282.2,8.8,0.39,0.049,0.011,1.28
18.7,7.7,5.59,273.2,9.8,0.82,0.025,0.023,0.66
20.8,8.02,7.92,255,5.2,0.82,0.025,0.013,0.65
15.5,6.85,9.41,85.6,66.6,1.93,0.025,0.034,1.42
19.6,8.26,8.95,366.5,14.5,1.35,0.025,0.084,0.82
16.2,8.29,10.71,170.1,41.4,1.54,0.06,0.023,0.84
11.3,8.76,8.3,289.7,4,4.07,0.025,0.028,0.24
11,7.94,8.94,460.6,2.3,0.37,0.025,0.026,0.83
12.9,6.57,9.52,323.1,86.7,1.22,0.025,0.034,1.3
12.8,8.25,7.03,438.9,7.6,2.16,0.025,0.012,1
12.7,7.93,8.78,410.6,58.1,4.16,2.42,0.346,7.31
13.6,7.32,9.24,80.4,55.2,1.11,0.025,0.023,0.65
14.1,6.73,7.22,176.7,15.7,2.03,0.119,0.037,1.56
14.8,8.02,10.38,251.8,10.1,1.18,0.706,0.109,2.04
9.3,8.3,9.39,322.1,9.1,0.46,0.025,0.01,0.29
12.4,8.32,10.64,403.6,10.3,1.05,0.025,0.005,0.15
6.4,8.39,11.53,979.7,9.7,1.26,0.025,0.005,0.46
5.7,8.44,11.79,1469.8,38.7,4.58,0.306,0.095,8.51
4,8.56,15.95,603.4,11.7,4.19,0.144,0.049,7.27
6.6,8.22,12.47,832.8,15.2,4.24,0.039,0.028,6.1
10.7,7.96,11.4,1386.6,17.8,4.42,0.33,0.113,7.8
0.5,8.48,12.36,2104.5,89.4,2.1,0.606,0.055,6.31
1.2,8.2,13.34,212.6,1.8,1.03,0.025,0.007,1.63
5.6,8.03,9.97,950.4,22.3,11.84,1.45,0.194,10.12
3,8.21,12.16,580.3,15.4,1.13,0.025,0.016,7.08
2.8,8.68,16.52,1070.2,16.3,4.02,0.025,0.029,8.31
2.6,8.2,11.09,401.9,5.2,1.03,0.142,0.025,2.15
5.5,8.44,13.13,903.6,12,4.04,0.236,0.079,11.15
6.2,8.09,11.54,826.9,17.1,4.38,0.344,0.1,12.64
4.2,8.41,12.24,2247.9,96.6,1.45,0.248,0.036,5.23
2.4,8.56,11.88,887.5,13.5,1.35,0.076,0.012,3.57
5.1,8.18,13.17,1589.1,19,3.89,0.18,0.111,9.81
2.8,8.59,13.04,1812.3,37.7,5.04,0.055,0.092,9.15
2.1,8.45,12.06,2874.7,15.3,3.47,0.646,0.065,7.62
3.7,8.56,14.22,606.6,16.6,3.71,0.08,0.034,5.03
0.3,8.65,13.85,1917.8,34.8,3.36,2.203,0.042,13.15
0.4,8.72,12.96,938.3,3.9,1.8,0.297,0.03,6.64
0.5,8.55,13.05,1371.3,16.1,3.53,0.513,0.084,11.17
6.5,7.88,10.94,368,11.6,0.96,0.05,0.041,3.43
7.4,8.18,10.09,326.7,1.6,0.3,0.025,0.011,2.02
7,7.56,8.22,398.9,84.4,1.86,0.137,0.093,3.38
5.6,8.01,11.59,360.7,28.9,1.47,0.025,0.029,1.44
3.4,8.25,11.99,415.3,4.6,0.92,0.052,0.01,1.59
1,8.35,11.42,1144.8,40.7,1.96,0.053,0.026,3.77
0.7,8.25,10.62,1559,5.2,2.13,0.957,0.06,4.85
1.5,8.3,11.35,1219.2,10.8,1.4,0.05,0.02,3.57
0.6,8.58,11.9,1041.2,12.7,1.35,0.17,0.037,3.78
0.8,8.45,11.15,778.7,39.9,2.74,0.538,0.13,3.41
7.2,7.99,12.31,208.6,6.1,0.55,0.025,0.009,0.57
7.8,8.23,10.06,329.3,5.1,1.39,0.04,0.024,2.03
10.2,7.97,10.04,308.6,11.1,1.66,0.057,0.025,1.57
12.2,7.94,8.22,236.8,2.6,1.48,0.025,0.03,1.4
5.5,8.22,11.5,433,16.3,0.89,0.029,0.022,1.7
3.7,8.34,12.43,577.5,7.6,1.41,0.196,0.04,4.88
2,8.17,12.29,518.1,6.3,0.51,0.025,0.012,2.49
2.6,8.53,9.64,682,76.1,1.61,0.073,0.07,2.33
1.5,8.41,9.26,1103.2,7.7,2.41,0.942,0.072,5.14
4.2,7.74,11.14,552,11.8,0.37,0.025,0.008,2.07
2.3,8.17,10.04,681.2,9.1,1.16,0.093,0.011,2.63
4.3,8.47,9.96,968.9,14.6,0.94,0.061,0.04,3.96
1.9,8.43,11.12,700,9.2,0.6,0.114,0.016,2.61
1.3,8.43,12.78,1384.3,95.9,2.88,0.865,0.163,8.72
4.3,8.32,13.13,504,6.9,0.98,0.025,0.005,2.11
4.6,8.41,11.7,586.5,5.3,1.2,0.032,0.005,1.87
0.6,8.44,11.72,685,7.4,0.54,0.025,0.005,1.62
2.1,8.17,10.56,705.9,11.4,0.84,0.089,0.031,3.19
4.6,8.26,9.62,639,3.6,0.36,0.025,0.005,1.45
0.5,7.92,11.92,737.7,15.6,0.25,0.047,0.016,3.46
0.6,8.54,11.77,1426.4,66.1,2.26,0.143,0.066,7.65
3.7,8.28,11.2,497.6,41.9,1.36,0.12,0.045,1.48
3.7,8.49,11.33,493.1,26.3,0.9,0.025,0.005,1.15
1.3,8.51,11.29,426.7,25,0.7,0.114,0.025,3.7
1.5,8.49,11.54,613.1,9.8,0.34,0.081,0.016,3.55
0.8,8.2,12.77,310,113,1.07,0.137,0.021,3.57
2.5,8.16,8.2,1100,12.5,4.19,1.833,0.235,6.92
1.8,8,9.95,765.4,11,2.92,0.192,0.041,4.24
1.6,8.5,10.54,377.5,2.7,1.69,0.025,0.005,1.38
1.3,8.37,11.39,950,227,1.47,1.608,0.209,7.66
1.4,8.21,13.61,445,34,0.34,0.028,0.048,1.53
1,8.35,13.43,512,162,0.39,0.04,0.005,1.46
2.1,7.99,12.14,358,1,0.5,0.025,0.006,0.84
